GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
faculty-feedback-system,com.ffms.service,StudentService,364,0,62,0,75,0,44,0,13,0
faculty-feedback-system,com.ffms.service,FeedbackService,350,0,30,0,80,0,41,0,24,0
faculty-feedback-system,com.ffms.service,AdminService,74,0,10,0,16,0,11,0,6,0
faculty-feedback-system,com.ffms.service,SubjectService,268,0,10,0,56,0,30,0,25,0
faculty-feedback-system,com.ffms.service,FacultyService,201,0,34,0,40,0,28,0,11,0
faculty-feedback-system,com.ffms.exception,RegistrationException,4,0,0,0,2,0,1,0,1,0
faculty-feedback-system,com.ffms.controller,FacultyCourseController,94,0,6,0,25,0,7,0,4,0
faculty-feedback-system,com.ffms.controller,AuthController,213,0,8,0,54,0,18,0,14,0
faculty-feedback-system,com.ffms.controller,StudentEnrollmentController,63,0,4,0,16,0,5,0,3,0
faculty-feedback-system,com.ffms.controller,FeedbackController,692,0,64,0,154,0,50,0,18,0
faculty-feedback-system,com.ffms.controller,ProfileController,113,0,8,0,31,0,9,0,5,0
faculty-feedback-system,com.ffms.controller,AdminController,108,0,8,0,30,0,11,0,7,0
faculty-feedback-system,com.ffms.controller,AdminFacultyController,149,0,14,0,42,0,15,0,8,0
faculty-feedback-system,com.ffms.controller,CustomErrorController,41,0,6,0,11,0,5,0,2,0
faculty-feedback-system,com.ffms.controller,StudentController,340,0,40,0,87,0,27,0,5,0
faculty-feedback-system,com.ffms.controller,AdminStudentController,60,0,6,0,17,0,7,0,4,0
faculty-feedback-system,com.ffms.controller,AdminSubjectController,206,0,16,0,56,0,17,0,9,0
faculty-feedback-system,com.ffms,FacultyFeedbackSystemApplication,8,0,0,0,3,0,2,0,2,0
faculty-feedback-system,com.ffms.model,Feedback,0,166,0,16,0,60,0,43,0,35
faculty-feedback-system,com.ffms.model,Student,31,12,0,0,9,3,9,2,9,2
faculty-feedback-system,com.ffms.model,Faculty,31,12,0,0,9,3,9,2,9,2
faculty-feedback-system,com.ffms.model,Subject,45,17,0,0,19,5,13,2,13,2
faculty-feedback-system,com.ffms.model,Admin,38,0,0,0,16,0,11,0,11,0
